id,name,org
4960438,Daniel Bleichenbacher,Bell Laboratories Murray Hill NJ
2046802718,Jean-Pierre Queille,IMAG
2667949830,Sylvain Peyruqueou,"Artal Technologies, Ramonville Saint-Agne, France#TAB#"
2915858522,Pedro Adão,"Center for Logic and Computation, IST, Lisboa, Portugal#TAB#"
31335080,Avi Wigderson,
2094873031,M. Hennessy,University Of Sussex;
2072325563,T. Polzin,
2464676005,Justin Pearson,", Uppsala University,"
2779700924,C.M. Olsen,
270949118,Wil M. Aalst,"Department of Technology Management, Technische Universiteit Eindhoven, Eindhoven, The Netherlands 5600 MB#TAB#"
2007687126,Romain Janvier,"VERIMAG, Gières, France#TAB#"
2634361678,Akl,"Queen's Univ., kingston, Ont., Canada#TAB#"
1991423812,Pao-Ann Hsiung,"Department of Computer Science and Information Engineering, National Chung Cheng University, Chiayi, Taiwan, ROC#TAB#"
2974288641,P. Dadam,"IBM Heidelberg Scientific Center, Tiergartenstrasse IS, 0-6900, Federal Republic of Germany"
2096937842,Elad Shahar,Weizmann institute of Science
2175384922,Andreas Holzinger,"Medical University of Graz, Graz, Austria and Institute for Medical Informatics, Statistics & Documentation#TAB#"
2716109719,Philippe Martinez,"UMR 8546 du CNRS, AOROC, École Normale Supérieure#TAB#"
2250387530,Robert Godin,UQAM
2941045449,R.W. Wagenaar,"EURIDIS, Erasmus Univ. Rotterdam, Netherlands"
326541501,Talal Shamoon,NEC Research Institute
2299933155,Yuliang Zheng,Monash  University
2063423718,Bernhard Steffen,Universität Passau
330448013,P. Grefen,
2099045486,Bernhard Ganter,Technische Universität Dresden¶
2130358780,Joe Kilian,NEC Research Institute#TAB#
2284655069,Constantine Stephanidis,"Institute of Computer Science, Foundation for Research and Technology – Hellas Department of Computer Science, University of Crete, Greece. E-mail: cs@ics.forth.gr#TAB#"
2142948141,Josep Blat,"Interactive Technologies Group Department of Information and Communication Technologies, Universitat Pompeu Fabra Passeig de Circunvallació, Barcelona, Spain"
152237314,Joachim Parrow,Swedish Institute Of Computer Science
2165412067,Ninghui Li,"Stanford, University"
2095767460,Donna B. Stoddard,
614907589,Stuart K. Card,"Xerox Palo Alto Research Center, 3333 Coyote Hill Road, Palo Alto, CA"
2951064894,Christopher League,"Department of Computer Science, University of Maryland, college park, MD"
